time_unix;time_server;event;symbol;signal;trend;buy_checks;sell_checks;bid;ask;spread_points;balance;equity;risk_cash;position_side;position_volume;floating_pl;message
1783462995;2026.07.07 22:23:15;H1_EVALUATION;XAUUSDm;SELL;SELL;0;4;4101.865;4102.125;260.0;0.00;0.00;0.00;FLAT;0.00;0.00;BUY 0/5 | SELL 4/5 | RSI 34.4 | ADX 26.0 | ATR 17.72
1783462995;2026.07.07 22:23:15;ALERT_WATCH;XAUUSDm;WAIT;SELL;0;4;4101.865;4102.125;260.0;0.00;0.00;0.00;FLAT;0.00;0.00;XAUUSDm SELL setup forming | 4/5 checks | NO TRADE YET
1783485882;2026.07.08 04:44:42;H1_EVALUATION;XAUUSDm;WAIT;SELL;1;2;4123.625;4123.865;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;BUY 1/5 | SELL 2/5 | RSI 46.9 | ADX 22.7 | ATR 18.83
1783486065;2026.07.08 04:47:45;EA_STOP;XAUUSDm;WAIT;SELL;1;2;4126.140;4126.380;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;EA removed or terminal stopped, reason 9
1783523047;2026.07.08 15:04:07;EA_START;XAUUSDm;WAIT;WAIT;0;0;4038.779;4039.019;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;Exness Guard v1.32 initialized in SIGNALS ONLY
1783523047;2026.07.08 15:04:07;SHADOW_EXIT;XAUUSDm;WAIT;WAIT;0;0;4038.728;4038.968;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;XAUUSDm virtual TARGET | 2.83R | P/L 525.02 | MFE 2.83R | MAE -0.49R
1783523047;2026.07.08 15:04:07;ALERT_PAPER;XAUUSDm;WAIT;WAIT;0;0;4038.728;4038.968;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;XAUUSDm virtual TARGET | 2.83R | P/L 525.02 | MFE 2.83R | MAE -0.49R
1783523047;2026.07.08 15:04:07;H1_EVALUATION;XAUUSDm;WAIT;SELL;0;3;4038.728;4038.968;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;BUY 0/5 | SELL 3/5 | RSI 29.9 | ADX 21.7 | ATR 23.26
1783523047;2026.07.08 15:04:07;ALERT_TREND;XAUUSDm;WAIT;SELL;0;3;4038.728;4038.968;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;XAUUSDm H1/H4 trend changed to SELL | BUY 0/5 | SELL 3/5 | RSI 29.9 | ADX 21.7 | ATR 23.26
1783523405;2026.07.08 15:10:05;EA_STOP;XAUUSDm;WAIT;SELL;0;3;4040.376;4040.616;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;EA removed or terminal stopped, reason 6
1783523405;2026.07.08 15:10:05;EA_START;XAUUSDm;WAIT;WAIT;0;0;4040.376;4040.616;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;Exness Guard v1.32 initialized in SIGNALS ONLY
1783526397;2026.07.08 15:59:57;H1_EVALUATION;XAUUSDm;WAIT;SELL;0;4;4034.133;4034.373;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;BUY 0/5 | SELL 4/5 | RSI 28.5 | ADX 24.2 | ATR 23.29
1783526397;2026.07.08 15:59:57;ALERT_TREND;XAUUSDm;WAIT;SELL;0;4;4034.133;4034.373;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;XAUUSDm H1/H4 trend changed to SELL | BUY 0/5 | SELL 4/5 | RSI 28.5 | ADX 24.2 | ATR 23.29
1783526397;2026.07.08 15:59:57;ALERT_WATCH;XAUUSDm;WAIT;SELL;0;4;4034.133;4034.373;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;XAUUSDm SELL setup forming | 4/5 checks | NO TRADE YET
1783528207;2026.07.08 16:30:07;ALERT_NEWS;XAUUSDm;WAIT;SELL;0;4;4042.995;4043.235;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;USD high impact in 30 min | 10-Year Note Auction | new entries blocked
1783529997;2026.07.08 16:59:57;H1_EVALUATION;XAUUSDm;WAIT;SELL;0;4;4063.561;4063.801;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;BUY 0/5 | SELL 4/5 | RSI 40.8 | ADX 22.8 | ATR 24.17
1783529997;2026.07.08 16:59:57;ALERT_WATCH;XAUUSDm;WAIT;SELL;0;4;4063.561;4063.801;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;XAUUSDm SELL setup forming | 4/5 checks | NO TRADE YET
1783533597;2026.07.08 17:59:57;H1_EVALUATION;XAUUSDm;WAIT;SELL;0;3;4065.670;4065.910;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;BUY 0/5 | SELL 3/5 | RSI 41.7 | ADX 20.9 | ATR 24.17
1783534497;2026.07.08 18:14:57;EA_STOP;XAUUSDm;WAIT;SELL;0;3;4075.071;4075.311;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;EA removed or terminal stopped, reason 1
